Month,Quarter,Region_Code,Region_Name,Parent_Name,Org_ONS_Code,Org_Code,Org_Name,Age,Eligible,Screened,Coverage(%),No. screens to reach target,National Rank,Total_Orgs,National_Coverage(%),Coverage_Change
2021-12-31,2021-22 Q3,E40000010,North West,CHESHIRE AND MERSEYSIDE STP,E38000194,02E,NHS WARRINGTON CCG,50-64,21060,16025,76.092117759,823,43,106,74.8,-0.585214023
2021-12-31,2021-22 Q3,E40000007,East of England,HERTFORDSHIRE AND WEST ESSEX STP,E38000197,07H,NHS WEST ESSEX CCG,50-64,29651,22699,76.553910492,1022,28,106,74.8,0.1531149362
2021-12-31,2021-22 Q3,E40000010,North West,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,E38000200,02G,NHS WEST LANCASHIRE CCG,50-64,10978,8396,76.480233194,387,33,106,74.8,-0.022345334
2021-12-31,2021-22 Q3,E40000008,Midlands,LEICESTER  LEICESTERSHIRE AND RUTLAND STP,E38000201,04V,NHS WEST LEICESTERSHIRE CCG,50-64,35721,27730,77.629405672,847,11,106,74.8,-0.113234623
2021-12-31,2021-22 Q3,E40000007,East of England,SUFFOLK AND NORTH EAST ESSEX STP,E38000204,07K,NHS WEST SUFFOLK CCG,50-64,25065,19393,77.370835827,659,15,106,74.8,0.6397271785
2021-12-31,2021-22 Q3,E40000005,South East,SUSSEX AND EAST SURREY STP,E38000248,70F,NHS WEST SUSSEX CCG,50-64,86317,64914,75.20418921,4140,62,106,74.8,0.093341551
2021-12-31,2021-22 Q3,E40000010,North West,GREATER MANCHESTER HEALTH AND SOCIAL CARE PARTNERSHIP (STP),E38000205,02H,NHS WIGAN BOROUGH CCG,50-64,29628,22094,74.571351424,1609,72,106,74.8,-0.25933275
2021-12-31,2021-22 Q3,E40000010,North West,CHESHIRE AND MERSEYSIDE STP,E38000208,12F,NHS WIRRAL CCG,50-64,32847,23951,72.916856943,2327,90,106,74.8,0.07750336
2022-03-31,2021-22 Q4,E40000009,North East and Yorkshire,SOUTH YORKSHIRE AND BASSETLAW STP,E38000006,02P,NHS BARNSLEY CCG,25-49,42216,31846,75.435853705,1927,14,106,68.6,-0.030280237
2022-03-31,2021-22 Q4,E40000007,East of England,MID AND SOUTH ESSEX STP,E38000007,99E,NHS BASILDON AND BRENTWOOD CCG,25-49,48017,35716,74.381989712,2698,22,106,68.6,-0.01491373
2022-03-31,2021-22 Q4,E40000009,North East and Yorkshire,SOUTH YORKSHIRE AND BASSETLAW STP,E38000008,02Q,NHS BASSETLAW CCG,25-49,18307,13491,73.693122849,1155,30,106,68.6,0.200155669
2022-03-31,2021-22 Q4,E40000006,South West,BATH AND NORTH EAST SOMERSET  SWINDON AND WILTSHIRE STP,E38000231,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",25-49,153902,112108,72.843757716,11014,45,106,68.6,-0.288837229
2022-03-31,2021-22 Q4,E40000007,East of England,BEDFORDSHIRE  LUTON AND MILTON KEYNES STP,E38000249,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",25-49,192791,129214,67.022838203,25019,88,106,68.6,
2022-03-31,2021-22 Q4,E40000005,South East,BUCKINGHAMSHIRE  OXFORDSHIRE AND BERKSHIRE WEST STP,E38000221,15A,NHS BERKSHIRE WEST CCG,25-49,100360,67623,67.38043045,12665,86,106,68.6,-0.796914449
2022-03-31,2021-22 Q4,E40000008,Midlands,BIRMINGHAM AND SOLIHULL STP,E38000220,15E,NHS BIRMINGHAM AND SOLIHULL CCG,25-49,230393,147738,64.124344056,36577,98,106,68.6,-0.572290007
2022-03-31,2021-22 Q4,E40000008,Midlands,THE BLACK COUNTRY AND WEST BIRMINGHAM STP,E38000250,D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,25-49,254170,164512,64.725183932,38824,97,106,68.6,
2022-03-31,2021-22 Q4,E40000010,North West,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,E38000014,00Q,NHS BLACKBURN WITH DARWEN CCG,25-49,29821,18940,63.512289997,4917,99,106,68.6,-1.510299086
2022-03-31,2021-22 Q4,E40000010,North West,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,E38000015,00R,NHS BLACKPOOL CCG,25-49,26767,18112,67.665408899,3302,85,106,68.6,-1.740086396
2022-03-31,2021-22 Q4,E40000010,North West,GREATER MANCHESTER HEALTH AND SOCIAL CARE PARTNERSHIP (STP),E38000016,00T,NHS BOLTON CCG,25-49,51788,35303,68.168301537,6128,82,106,68.6,-1.43526558
2022-03-31,2021-22 Q4,E40000009,North East and Yorkshire,WEST YORKSHIRE AND HARROGATE (HEALTH & CARE PARTNERSHIP) STP,E38000232,36J,NHS BRADFORD DISTRICT AND CRAVEN CCG,25-49,106757,69520,65.119851626,15886,96,106,68.6,-0.115414758
2022-03-31,2021-22 Q4,E40000005,South East,SUSSEX AND EAST SURREY STP,E38000021,09D,NHS BRIGHTON AND HOVE CCG,25-49,62115,39431,63.480640747,10261,100,106,68.6,-0.913472465
2022-03-31,2021-22 Q4,E40000006,South West,BRISTOL  NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE STP,E38000222,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",25-49,189789,135571,71.43248555,16261,61,106,68.6,-0.711990993
2022-03-31,2021-22 Q4,E40000005,South East,BUCKINGHAMSHIRE  OXFORDSHIRE AND BERKSHIRE WEST STP,E38000223,14Y,NHS BUCKINGHAMSHIRE CCG,25-49,94827,66737,70.377635062,9125,72,106,68.6,-0.257496482
2022-03-31,2021-22 Q4,E40000010,North West,GREATER MANCHESTER HEALTH AND SOCIAL CARE PARTNERSHIP (STP),E38000024,00V,NHS BURY CCG,25-49,34449,24311,70.570988998,3249,68,106,68.6,-0.540576303
2022-03-31,2021-22 Q4,E40000009,North East and Yorkshire,WEST YORKSHIRE AND HARROGATE (HEALTH & CARE PARTNERSHIP) STP,E38000025,02T,NHS CALDERDALE CCG,25-49,35308,25386,71.898719837,2861,55,106,68.6,-0.113609783
2022-03-31,2021-22 Q4,E40000007,East of England,CAMBRIDGESHIRE AND PETERBOROUGH STP,E38000026,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,25-49,176139,116716,66.263575926,24196,91,106,68.6,-0.295103745
2022-03-31,2021-22 Q4,E40000008,Midlands,STAFFORDSHIRE AND STOKE ON TRENT STP,E38000028,04Y,NHS CANNOCK CHASE CCG,25-49,21177,16212,76.554752798,730,8,106,68.6,0.4813948223
2022-03-31,2021-22 Q4,E40000007,East of England,MID AND SOUTH ESSEX STP,E38000030,99F,NHS CASTLE POINT AND ROCHFORD CCG,25-49,26902,20609,76.607687161,913,7,106,68.6,0.0899664438
2022-03-31,2021-22 Q4,E40000010,North West,CHESHIRE AND MERSEYSIDE STP,E38000233,27D,NHS CHESHIRE CCG,25-49,121330,90575,74.651776148,6489,19,106,68.6,-0.169647948
2022-03-31,2021-22 Q4,E40000010,North West,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,E38000034,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,25-49,29508,22415,75.962450861,1192,12,106,68.6,-0.635745872
2022-03-31,2021-22 Q4,E40000009,North East and Yorkshire,CUMBRIA AND NORTH EAST STP,E38000234,84H,NHS COUNTY DURHAM CCG,25-49,82313,62725,76.203029898,3126,10,106,68.6,0.4213723108
2022-03-31,2021-22 Q4,E40000008,Midlands,COVENTRY AND WARWICKSHIRE STP,E38000251,B2M3M,NHS COVENTRY AND WARWICKSHIRE CCG,25-49,170673,116178,68.070520821,20361,83,106,68.6,
2022-03-31,2021-22 Q4,E40000008,Midlands,JOINED UP CARE DERBYSHIRE STP,E38000229,15M,NHS DERBY AND DERBYSHIRE CCG,25-49,165479,123718,74.763565165,8666,18,106,68.6,-0.808772314
2022-03-31,2021-22 Q4,E40000006,South West,DEVON STP,E38000230,15N,NHS DEVON CCG,25-49,181621,132697,73.062586375,12600,41,106,68.6,-1.144409473
2022-03-31,2021-22 Q4,E40000009,North East and Yorkshire,SOUTH YORKSHIRE AND BASSETLAW STP,E38000044,02X,NHS DONCASTER CCG,25-49,51864,37006,71.351997532,4486,62,106,68.6,-0.346883051
2022-03-31,2021-22 Q4,E40000006,South West,DORSET STP,E38000045,11J,NHS DORSET CCG,25-49,117910,86014,72.948859299,8314,43,106,68.6,-0.349851302
2022-03-31,2021-22 Q4,E40000007,East of England,HERTFORDSHIRE AND WEST ESSEX STP,E38000049,06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,25-49,105011,77794,74.081762863,6215,25,106,68.6,-0.592046867
2022-03-31,2021-22 Q4,E40000010,North West,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,E38000050,01A,NHS EAST LANCASHIRE CCG,25-49,62235,43056,69.182935647,6732,76,106,68.6,-1.347917347
2022-03-31,2021-22 Q4,E40000008,Midlands,LEICESTER  LEICESTERSHIRE AND RUTLAND STP,E38000051,03W,NHS EAST LEICESTERSHIRE AND RUTLAND CCG,25-49,52809,39235,74.296048022,3013,23,106,68.6,-0.808509303
2022-03-31,2021-22 Q4,E40000009,North East and Yorkshire,HUMBER  COAST AND VALE STP,E38000052,02Y,NHS EAST RIDING OF YORKSHIRE CCG,25-49,41503,31933,76.941425921,1270,5,106,68.6,-0.19553639
2022-03-31,2021-22 Q4,E40000008,Midlands,STAFFORDSHIRE AND STOKE ON TRENT STP,E38000053,05D,NHS EAST STAFFORDSHIRE CCG,25-49,23210,15535,66.932356743,3033,89,106,68.6,0.1535693935
2022-03-31,2021-22 Q4,E40000005,South East,SUSSEX AND EAST SURREY STP,E38000235,97R,NHS EAST SUSSEX CCG,25-49,79239,57279,72.286374134,6113,54,106,68.6,-0.18217713
2022-03-31,2021-22 Q4,E40000005,South East,FRIMLEY HEALTH & CARE ICS (STP),E38000252,D4U1Y,NHS FRIMLEY CCG,25-49,141958,100229,70.604685893,13338,67,106,68.6,
2022-03-31,2021-22 Q4,E40000010,North West,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,E38000226,02M,NHS FYLDE & WYRE CCG,25-49,23586,18203,77.177138981,666,3,106,68.6,-0.916357127
2022-03-31,2021-22 Q4,E40000006,South West,GLOUCESTERSHIRE STP,E38000062,11M,NHS GLOUCESTERSHIRE CCG,25-49,103313,77977,75.476464724,4674,13,106,68.6,-0.643157563
2022-03-31,2021-22 Q4,E40000010,North West,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,E38000227,01E,NHS GREATER PRESTON CCG,25-49,35956,24014,66.787184336,4751,90,106,68.6,-1.523697673
2022-03-31,2021-22 Q4,E40000010,North West,CHESHIRE AND MERSEYSIDE STP,E38000068,01F,NHS HALTON CCG,25-49,21787,15528,71.271859366,1902,64,106,68.6,-0.701286356
2022-03-31,2021-22 Q4,E40000005,South East,HAMPSHIRE AND THE ISLE OF WIGHT STP,E38000253,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT CCG",25-49,260607,185334,71.116278534,23152,65,106,68.6,
2022-03-31,2021-22 Q4,E40000008,Midlands,HEREFORDSHIRE AND WORCESTERSHIRE STP,E38000236,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG,25-49,119213,87090,73.054113226,8281,42,106,68.6,0.2399101998
2022-03-31,2021-22 Q4,E40000007,East of England,HERTFORDSHIRE AND WEST ESSEX STP,E38000079,06N,NHS HERTS VALLEYS CCG,25-49,117953,84554,71.684484498,9809,57,106,68.6,0.5042754983
2022-03-31,2021-22 Q4,E40000010,North West,GREATER MANCHESTER HEALTH AND SOCIAL CARE PARTNERSHIP (STP),E38000080,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG",25-49,40251,28710,71.327420437,3491,63,106,68.6,-1.06764005
2022-03-31,2021-22 Q4,E40000009,North East and Yorkshire,HUMBER  COAST AND VALE STP,E38000085,03F,NHS HULL CCG,25-49,52386,36355,69.398312526,5554,74,106,68.6,-0.528009008
2022-03-31,2021-22 Q4,E40000007,East of England,SUFFOLK AND NORTH EAST ESSEX STP,E38000086,06L,NHS IPSWICH AND EAST SUFFOLK CCG,25-49,62113,45736,73.633538873,3955,31,106,68.6,-0.08360149
2022-03-31,2021-22 Q4,E40000005,South East,KENT AND MEDWAY STP,E38000237,91Q,NHS KENT AND MEDWAY CCG,25-49,313861,224318,71.470491714,26771,60,106,68.6,-0.171926514
2022-03-31,2021-22 Q4,E40000006,South West,CORNWALL AND THE ISLES OF SCILLY HEALTH & SOCIAL CARE PARTNERSHIP (STP),E38000089,11N,NHS KERNOW CCG,25-49,84588,61267,72.429895493,6404,50,106,68.6,-0.678288196
2022-03-31,2021-22 Q4,E40000009,North East and Yorkshire,WEST YORKSHIRE AND HARROGATE (HEALTH & CARE PARTNERSHIP) STP,E38000254,X2C4Y,NHS KIRKLEES CCG,25-49,73399,51751,70.506410169,6969,69,106,68.6,
2022-03-31,2021-22 Q4,E40000010,North West,CHESHIRE AND MERSEYSIDE STP,E38000091,01J,NHS KNOWSLEY CCG,25-49,28633,20712,72.336115671,2195,51,106,68.6,0.6358521192
2022-03-31,2021-22 Q4,E40000009,North East and Yorkshire,WEST YORKSHIRE AND HARROGATE (HEALTH & CARE PARTNERSHIP) STP,E38000225,15F,NHS LEEDS CCG,25-49,159790,109287,68.394142312,18545,81,106,68.6,-0.319063129
2022-03-31,2021-22 Q4,E40000008,Midlands,LEICESTER  LEICESTERSHIRE AND RUTLAND STP,E38000097,04C,NHS LEICESTER CITY CCG,25-49,75750,45399,59.932673267,15201,103,106,68.6,0.2667734171
2022-03-31,2021-22 Q4,E40000008,Midlands,LINCOLNSHIRE STP,E38000238,71E,NHS LINCOLNSHIRE CCG,25-49,115947,84113,72.544352161,8645,48,106,68.6,-0.708872821
2022-03-31,2021-22 Q4,E40000010,North West,CHESHIRE AND MERSEYSIDE STP,E38000101,99A,NHS LIVERPOOL CCG,25-49,97587,61351,62.86800496,16719,101,106,68.6,-1.466332961
2022-03-31,2021-22 Q4,E40000010,North West,GREATER MANCHESTER HEALTH AND SOCIAL CARE PARTNERSHIP (STP),E38000217,14L,NHS MANCHESTER CCG,25-49,134753,79807,59.224655481,27996,104,106,68.6,-0.669833838
2022-03-31,2021-22 Q4,E40000007,East of England,MID AND SOUTH ESSEX STP,E38000106,06Q,NHS MID ESSEX CCG,25-49,65149,48379,74.259006278,3741,24,106,68.6,0.0880581228
2022-03-31,2021-22 Q4,E40000010,North West,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,E38000228,01K,NHS MORECAMBE BAY CCG,25-49,50064,34718,69.347235539,5334,75,106,68.6,-1.346173048
2022-03-31,2021-22 Q4,E40000009,North East and Yorkshire,CUMBRIA AND NORTH EAST STP,E38000212,13T,NHS NEWCASTLE GATESHEAD CCG,25-49,88759,60839,68.544034971,10169,80,106,68.6,-0.013752017
2022-03-31,2021-22 Q4,E40000007,East of England,NORFOLK AND WAVENEY HEALTH & CARE PARTNERSHIP (STP),E38000239,26A,NHS NORFOLK & WAVENEY CCG,25-49,156864,115980,73.936658507,9512,27,106,68.6,0.5731449673
2022-03-31,2021-22 Q4,E40000003,London,NORTH LONDON PARTNERS IN HEALTH & CARE (STP),E38000240,93C,NHS NORTH CENTRAL LONDON CCG,25-49,376263,219412,58.31346691,81599,105,106,68.6,0.0877676165
2022-03-31,2021-22 Q4,E40000009,North East and Yorkshire,CUMBRIA AND NORTH EAST STP,E38000215,01H,NHS NORTH CUMBRIA CCG,25-49,46857,36596,78.101457626,890,1,106,68.6,-0.6303814
2022-03-31,2021-22 Q4,E40000007,East of England,SUFFOLK AND NORTH EAST ESSEX STP,E38000117,06T,NHS NORTH EAST ESSEX CCG,25-49,54723,40356,73.74595691,3423,29,106,68.6,0.3228330881
2022-03-31,2021-22 Q4,E40000009,North East and Yorkshire,HUMBER  COAST AND VALE STP,E38000119,03H,NHS NORTH EAST LINCOLNSHIRE CCG,25-49,25672,18837,73.3756622,1701,35,106,68.6,-0.791297447
2022-03-31,2021-22 Q4,E40000003,London,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),E38000255,A3A8R,NHS NORTH EAST LONDON CCG,25-49,502817,310429,61.737968287,91825,102,106,68.6,
2022-03-31,2021-22 Q4,E40000009,North East and Yorkshire,HUMBER  COAST AND VALE STP,E38000122,03K,NHS NORTH LINCOLNSHIRE CCG,25-49,26973,18988,70.396322248,2591,70,106,68.6,-1.137474858
2022-03-31,2021-22 Q4,E40000008,Midlands,STAFFORDSHIRE AND STOKE ON TRENT STP,E38000126,05G,NHS NORTH STAFFORDSHIRE CCG,25-49,31045,23137,74.527299082,1699,20,106,68.6,-0.680784605
2022-03-31,2021-22 Q4,E40000009,North East and Yorkshire,CUMBRIA AND NORTH EAST STP,E38000127,99C,NHS NORTH TYNESIDE CCG,25-49,36866,28408,77.05745131,1085,4,106,68.6,-0.065203028
2022-03-31,2021-22 Q4,E40000003,London,NORTH WEST LONDON HEALTH & CARE PARTNERSHIP (STP),E38000256,W2U3Z,NHS NORTH WEST LONDON CCG,25-49,583675,328069,56.207478477,138871,106,106,68.6,
2022-03-31,2021-22 Q4,E40000009,North East and Yorkshire,HUMBER  COAST AND VALE STP,E38000241,42D,NHS NORTH YORKSHIRE CCG,25-49,60157,46199,76.797380189,1927,6,106,68.6,0.0929675887
2022-03-31,2021-22 Q4,E40000008,Midlands,NORTHAMPTONSHIRE STP,E38000242,78H,NHS NORTHAMPTONSHIRE CCG,25-49,135270,93324,68.990907075,14892,77,106,68.6,-0.452892492
2022-03-31,2021-22 Q4,E40000009,North East and Yorkshire,CUMBRIA AND NORTH EAST STP,E38000130,00L,NHS NORTHUMBERLAND CCG,25-49,45752,35351,77.266567582,1251,2,106,68.6,0.0577124931
2022-03-31,2021-22 Q4,E40000008,Midlands,NOTTINGHAM AND NOTTINGHAMSHIRE HEALTH AND CARE STP,E38000243,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG,25-49,177757,130201,73.246623199,12005,38,106,68.6,-1.224274758
2022-03-31,2021-22 Q4,E40000010,North West,GREATER MANCHESTER HEALTH AND SOCIAL CARE PARTNERSHIP (STP),E38000135,00Y,NHS OLDHAM CCG,25-49,43069,29172,67.733172351,5284,84,106,68.6,0.0630336246
2022-03-31,2021-22 Q4,E40000005,South East,BUCKINGHAMSHIRE  OXFORDSHIRE AND BERKSHIRE WEST STP,E38000136,10Q,NHS OXFORDSHIRE CCG,25-49,133761,89678,67.043458108,17331,87,106,68.6,-0.030887185
2022-03-31,2021-22 Q4,E40000005,South East,HAMPSHIRE AND THE ISLE OF WIGHT STP,E38000137,10R,NHS PORTSMOUTH CCG,25-49,40166,26283,65.435940845,5850,94,106,68.6,-0.611347899
2022-03-31,2021-22 Q4,E40000009,North East and Yorkshire,SOUTH YORKSHIRE AND BASSETLAW STP,E38000141,03L,NHS ROTHERHAM CCG,25-49,41827,30911,73.902025008,2551,28,106,68.6,-0.278302861
2022-03-31,2021-22 Q4,E40000010,North West,GREATER MANCHESTER HEALTH AND SOCIAL CARE PARTNERSHIP (STP),E38000143,01G,NHS SALFORD CCG,25-49,56990,37145,65.178101421,8447,95,106,68.6,-1.593517122
2022-03-31,2021-22 Q4,E40000009,North East and Yorkshire,SOUTH YORKSHIRE AND BASSETLAW STP,E38000146,03N,NHS SHEFFIELD CCG,25-49,99303,68277,68.75623093,11166,79,106,68.6,-1.032155452
2022-03-31,2021-22 Q4,E40000008,Midlands,SHROPSHIRE AND TELFORD AND WREKIN STP,E38000257,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN CCG",25-49,75067,55200,73.53430935,4854,32,106,68.6,
2022-03-31,2021-22 Q4,E40000006,South West,SOMERSET STP,E38000150,11X,NHS SOMERSET CCG,25-49,83672,61157,73.091356726,5781,40,106,68.6,-0.277012425
2022-03-31,2021-22 Q4,E40000003,London,OUR HEALTHIER SOUTH EAST LONDON STP,E38000244,72Q,NHS SOUTH EAST LONDON CCG,25-49,443620,290998,65.596231009,63898,93,106,68.6,0.0169889022
2022-03-31,2021-22 Q4,E40000008,Midlands,STAFFORDSHIRE AND STOKE ON TRENT STP,E38000153,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA CCG,25-49,33433,24555,73.445398259,2192,34,106,68.6,-0.516055252
2022-03-31,2021-22 Q4,E40000010,North West,CHESHIRE AND MERSEYSIDE STP,E38000161,01T,NHS SOUTH SEFTON CCG,25-49,24812,17296,69.708205707,2554,73,106,68.6,-0.671888812
2022-03-31,2021-22 Q4,E40000009,North East and Yorkshire,CUMBRIA AND NORTH EAST STP,E38000163,00N,NHS SOUTH TYNESIDE CCG,25-49,24479,18734,76.53090404,850,9,106,68.6,0.7791629505
2022-03-31,2021-22 Q4,E40000003,London,SOUTH WEST LONDON HEALTH & CARE PARTNERSHIP (STP),E38000245,36L,NHS SOUTH WEST LONDON CCG,25-49,356994,236015,66.11175538,49581,92,106,68.6,1.2098491796
2022-03-31,2021-22 Q4,E40000007,East of England,MID AND SOUTH ESSEX STP,E38000168,99G,NHS SOUTHEND CCG,25-49,31617,22253,70.383021792,3041,71,106,68.6,0.2494943905
2022-03-31,2021-22 Q4,E40000010,North West,CHESHIRE AND MERSEYSIDE STP,E38000170,01V,NHS SOUTHPORT AND FORMBY CCG,25-49,17391,12574,72.301765281,1339,53,106,68.6,-0.772043141
2022-03-31,2021-22 Q4,E40000010,North West,CHESHIRE AND MERSEYSIDE STP,E38000172,01X,NHS ST HELENS CCG,25-49,31382,22472,71.607928112,2634,59,106,68.6,-0.746269777
2022-03-31,2021-22 Q4,E40000008,Midlands,STAFFORDSHIRE AND STOKE ON TRENT STP,E38000173,05V,NHS STAFFORD AND SURROUNDS CCG,25-49,22659,16611,73.308619092,1517,36,106,68.6,-0.205425476
2022-03-31,2021-22 Q4,E40000010,North West,GREATER MANCHESTER HEALTH AND SOCIAL CARE PARTNERSHIP (STP),E38000174,01W,NHS STOCKPORT CCG,25-49,53576,40767,76.091906824,2094,11,106,68.6,-0.305491611
2022-03-31,2021-22 Q4,E40000008,Midlands,STAFFORDSHIRE AND STOKE ON TRENT STP,E38000175,05W,NHS STOKE ON TRENT CCG,25-49,47802,32964,68.959457763,5278,78,106,68.6,-0.090567502
2022-03-31,2021-22 Q4,E40000009,North East and Yorkshire,CUMBRIA AND NORTH EAST STP,E38000176,00P,NHS SUNDERLAND CCG,25-49,45268,33249,73.449235663,2966,33,106,68.6,-1.626616559
2022-03-31,2021-22 Q4,E40000005,South East,SURREY HEARTLANDS HEALTH & CARE PARTNERSHIP (STP),E38000246,92A,NHS SURREY HEARTLANDS CCG,25-49,185227,131497,70.992349927,16685,66,106,68.6,0.5537315156
2022-03-31,2021-22 Q4,E40000010,North West,GREATER MANCHESTER HEALTH AND SOCIAL CARE PARTNERSHIP (STP),E38000182,01Y,NHS TAMESIDE AND GLOSSOP CCG,25-49,42011,30386,72.328675823,3223,52,106,68.6,0.958115008
2022-03-31,2021-22 Q4,E40000009,North East and Yorkshire,CUMBRIA AND NORTH EAST STP,E38000247,16C,NHS TEES VALLEY CCG,25-49,111416,79794,71.618079989,9339,58,106,68.6,-0.977532549
2022-03-31,2021-22 Q4,E40000007,East of England,MID AND SOUTH ESSEX STP,E38000185,07G,NHS THURROCK CCG,25-49,33742,24600,72.906170351,2394,44,106,68.6,0.3524710675
2022-03-31,2021-22 Q4,E40000010,North West,GREATER MANCHESTER HEALTH AND SOCIAL CARE PARTNERSHIP (STP),E38000187,02A,NHS TRAFFORD CCG,25-49,41466,31069,74.926445763,2104,17,106,68.6,-0.104429646
2022-03-31,2021-22 Q4,E40000009,North East and Yorkshire,HUMBER  COAST AND VALE STP,E38000188,03Q,NHS VALE OF YORK CCG,25-49,58029,41712,71.881300729,4712,56,106,68.6,0.4475558162
2022-03-31,2021-22 Q4,E40000009,North East and Yorkshire,WEST YORKSHIRE AND HARROGATE (HEALTH & CARE PARTNERSHIP) STP,E38000190,03R,NHS WAKEFIELD CCG,25-49,63294,46099,72.833127943,4537,46,106,68.6,-0.051169052
2022-03-31,2021-22 Q4,E40000010,North West,CHESHIRE AND MERSEYSIDE STP,E38000194,02E,NHS WARRINGTON CCG,25-49,36318,26575,73.173082218,2480,39,106,68.6,-0.95867775
2022-03-31,2021-22 Q4,E40000007,East of England,HERTFORDSHIRE AND WEST ESSEX STP,E38000197,07H,NHS WEST ESSEX CCG,25-49,54869,40200,73.265413986,3696,37,106,68.6,0.638907079
2022-03-31,2021-22 Q4,E40000010,North West,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,E38000200,02G,NHS WEST LANCASHIRE CCG,25-49,16326,12238,74.960186206,823,16,106,68.6,-0.942307281
2022-03-31,2021-22 Q4,E40000008,Midlands,LEICESTER  LEICESTERSHIRE AND RUTLAND STP,E38000201,04V,NHS WEST LEICESTERSHIRE CCG,25-49,63489,46974,73.987619903,3818,26,106,68.6,-0.640274033
2022-03-31,2021-22 Q4,E40000007,East of England,SUFFOLK AND NORTH EAST ESSEX STP,E38000204,07K,NHS WEST SUFFOLK CCG,25-49,39593,29698,75.008208522,1977,15,106,68.6,-0.119173523
2022-03-31,2021-22 Q4,E40000005,South East,SUSSEX AND EAST SURREY STP,E38000248,70F,NHS WEST SUSSEX CCG,25-49,141504,102987,72.780274763,10217,47,106,68.6,-0.114757363
2022-03-31,2021-22 Q4,E40000010,North West,GREATER MANCHESTER HEALTH AND SOCIAL CARE PARTNERSHIP (STP),E38000205,02H,NHS WIGAN BOROUGH CCG,25-49,53963,40141,74.386153476,3030,21,106,68.6,-0.153034296
2022-03-31,2021-22 Q4,E40000010,North West,CHESHIRE AND MERSEYSIDE STP,E38000208,12F,NHS WIRRAL CCG,25-49,51813,37551,72.474089514,3900,49,106,68.6,-0.646145771
2022-03-31,2021-22 Q4,E40000009,North East and Yorkshire,SOUTH YORKSHIRE AND BASSETLAW STP,E38000006,02P,NHS BARNSLEY CCG,50-64,25279,19511,77.182641718,713,21,106,75.0,0.1330659072
2022-03-31,2021-22 Q4,E40000007,East of England,MID AND SOUTH ESSEX STP,E38000007,99E,NHS BASILDON AND BRENTWOOD CCG,50-64,25275,19263,76.213649852,957,44,106,75.0,0.4399593278
2022-03-31,2021-22 Q4,E40000009,North East and Yorkshire,SOUTH YORKSHIRE AND BASSETLAW STP,E38000008,02Q,NHS BASSETLAW CCG,50-64,11865,9186,77.420986094,306,15,106,75.0,1.0894714144
2022-03-31,2021-22 Q4,E40000006,South West,BATH AND NORTH EAST SOMERSET  SWINDON AND WILTSHIRE STP,E38000231,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",50-64,92578,70945,76.63267731,3118,34,106,75.0,0.2582361608
2022-03-31,2021-22 Q4,E40000007,East of England,BEDFORDSHIRE  LUTON AND MILTON KEYNES STP,E38000249,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",50-64,87637,65033,74.207241234,5077,80,106,75.0,
2022-03-31,2021-22 Q4,E40000005,South East,BUCKINGHAMSHIRE  OXFORDSHIRE AND BERKSHIRE WEST STP,E38000221,15A,NHS BERKSHIRE WEST CCG,50-64,47343,35931,75.895063684,1944,52,106,75.0,-0.423879853
2022-03-31,2021-22 Q4,E40000008,Midlands,BIRMINGHAM AND SOLIHULL STP,E38000220,15E,NHS BIRMINGHAM AND SOLIHULL CCG,50-64,104180,75902,72.856594356,7442,93,106,75.0,-0.183964701
2022-03-31,2021-22 Q4,E40000008,Midlands,THE BLACK COUNTRY AND WEST BIRMINGHAM STP,E38000250,D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,50-64,120936,87188,72.094330886,9561,97,106,75.0,
